"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"234",9,"Boston Scott",PHI,"RB66","14","3 out of 5 stars","+11"
"235",9,"Mason Crosby",GB,"K12","13","0 out of 5 stars","-41"
"236",9,"Wil Lutz",NO,"K13","6","4 out of 5 stars","-63"
"237",9,"Jameis Winston",NO,"QB31","6","3 out of 5 stars","-2"
"238",9,"Seattle Seahawks",SEA,"DST18","9","4 out of 5 stars","-21"
"239",9,"Van Jefferson",LAR,"WR83","11","5 out of 5 stars","+96"
"240",9,"O.J. Howard",TB,"TE29","9","3 out of 5 stars","+2"
"241",9,"Minnesota Vikings",MIN,"DST19","7","3 out of 5 stars","+8"
"242",9,"Michael Badgley",LAC,"K14","7","2 out of 5 stars","+16"
"243",9,"Denzel Mims",NYJ,"WR84","6","4 out of 5 stars","+20"
"244",9,"Josh Reynolds",TEN,"WR85","13","3 out of 5 stars","+61"
"245",9,"Tim Patrick",DEN,"WR86","11","4 out of 5 stars","+65"
"246",9,"Mark Ingram II",HOU,"RB67","10","4 out of 5 stars","-48"
"247",9,"Brandon McManus",DEN,"K15","11","1 out of 5 stars","+14"
"248",9,"Carlos Hyde",JAC,"RB68","7","4 out of 5 stars","+63"
"249",9,"Benny Snell Jr.",PIT,"RB69","7","5 out of 5 stars","-21"
"250",9,"DeSean Jackson",LAR,"WR87","11","5 out of 5 stars","+38"
